t_s,server_cpu_pct,server_rss_mb,client_cpu_pct,client_rss_mb,gpu_busy_pct,vram_mb
1.0,25.8,1049.8,291.8,6844.0,70,5612.0
2.0,29.3,1049.9,239.1,6844.3,75,5805.9
3.1,28.3,1049.9,285.9,6844.5,92,5816.2
4.1,28.3,1050.0,286.0,6844.6,90,5799.6
5.1,27.3,1050.0,283.1,6844.6,87,5795.9
6.1,28.3,1050.0,276.3,6844.7,83,5661.8
7.2,28.3,1050.0,289.0,6844.8,82,5605.9
8.2,28.3,1050.0,288.6,6844.9,86,5605.9
9.2,27.3,1050.0,278.2,6844.9,88,5637.9
10.2,28.3,1050.0,264.8,6844.9,76,5605.9
11.3,28.3,1050.0,281.1,6844.9,85,5605.9
12.3,27.3,1050.0,276.3,6845.2,100,5605.9
13.3,28.3,1050.0,260.8,6845.2,87,5605.9
14.3,27.4,1050.0,262.9,6845.3,86,5596.3
15.3,29.2,1050.0,269.0,6845.3,84,5558.8
16.4,27.3,1050.0,290.9,6846.6,86,5558.8
17.4,28.3,1050.0,279.9,6846.6,86,5558.8
18.4,28.3,1050.0,287.2,6846.6,91,5552.8
19.4,29.3,1050.0,287.0,6846.6,92,5548.8
20.5,27.3,1050.0,288.8,6846.6,90,5548.8
21.5,28.3,1050.0,274.4,6846.6,90,5548.8
22.5,28.3,1050.0,278.2,6846.6,86,5548.8
23.5,28.3,1050.0,277.4,6847.1,84,5544.8
24.6,27.4,1050.0,268.6,6847.3,88,5544.8
25.6,28.3,1050.0,276.3,6847.3,90,5544.8
26.6,28.3,1050.0,281.2,6847.3,92,5544.8
27.6,27.3,1050.0,276.2,6847.3,92,5544.8
28.7,28.3,1050.0,277.0,6847.5,93,5544.8
29.7,27.3,1050.0,276.4,6847.5,99,5576.8
30.7,28.3,1050.0,279.3,6847.5,95,5544.8
31.7,27.3,1050.0,264.4,6847.5,86,5544.8
32.8,28.3,1050.0,260.6,6847.5,87,5544.8
33.8,28.3,1050.0,276.2,6847.5,85,5544.8
34.8,28.3,1050.0,284.2,6847.5,88,5544.8
35.8,27.3,1050.0,287.0,6847.5,91,5544.8
36.9,27.3,1050.0,281.2,6847.5,89,5544.8
37.9,28.3,1050.0,286.0,6847.6,88,5544.8
38.9,28.3,1050.0,294.6,6847.6,89,5544.8
39.9,29.3,1050.0,213.6,6847.7,48,5645.0
41.0,30.2,1050.0,243.0,6847.7,78,5770.2
42.0,29.3,1050.0,287.0,6847.7,92,5796.3
43.0,27.3,1050.0,290.9,6847.7,95,5777.3
44.0,28.3,1050.0,289.8,6847.8,91,5741.6
45.1,28.3,1050.0,293.8,6847.8,88,5622.6
46.1,28.3,1050.0,296.4,6847.8,95,5653.3
47.1,28.3,1050.0,295.6,6848.1,89,5621.3
48.1,29.2,1050.0,299.3,6848.1,89,5621.3
49.2,27.3,1050.0,296.5,6848.1,93,5621.3
50.2,27.3,1050.0,293.9,6848.1,91,5621.3
51.2,28.3,1050.0,293.0,6848.1,94,5575.8
52.2,28.3,1050.0,290.0,6848.1,91,5575.8
53.3,28.3,1050.0,289.0,6848.1,93,5566.2
54.3,27.4,1050.0,288.2,6848.1,93,5566.2
55.3,28.3,1050.0,287.9,6848.1,87,5566.2
56.3,27.4,1050.0,289.2,6848.2,87,5598.2
57.4,26.3,1050.0,285.9,6848.2,98,5566.2
58.4,28.3,1050.0,282.3,6848.2,87,5566.2
59.4,28.3,1050.0,280.9,6848.2,94,5564.2
60.4,28.3,1050.1,285.2,6848.2,88,5564.2
