t_s,server_cpu_pct,server_rss_mb,client_cpu_pct,client_rss_mb,gpu_busy_pct,vram_mb
1.0,28.8,1053.9,287.0,6848.4,72,5661.4
2.0,28.3,1054.0,234.4,6848.4,69,5920.0
3.1,28.3,1054.2,283.1,6848.4,72,5880.9
4.1,25.4,1054.3,274.4,6848.4,70,5803.9
5.1,28.2,1054.5,279.2,6848.7,72,5769.6
6.1,28.3,1054.6,281.3,6848.8,70,5645.9
7.2,27.3,1054.8,285.1,6849.0,70,5645.9
8.2,31.2,1054.9,282.1,6849.1,70,5596.5
9.2,28.3,1055.1,283.1,6849.1,70,5596.5
10.2,29.3,1055.4,277.0,6849.1,70,5596.5
11.3,29.3,1055.6,280.1,6849.1,70,5587.2
12.3,29.3,1055.7,269.4,6849.2,70,5587.2
13.3,28.3,1055.9,272.3,6849.2,70,5587.2
14.3,29.3,1056.1,269.4,6849.6,70,5615.2
15.4,28.3,1056.3,268.3,6849.9,68,5607.2
16.4,29.3,1056.5,260.7,6850.1,60,5607.2
17.4,29.3,1056.7,258.6,6850.7,63,5607.2
18.4,28.3,1056.9,257.9,6851.2,60,5575.2
19.4,29.3,1057.1,259.0,6852.4,61,5575.2
20.5,29.3,1057.3,256.9,6854.9,60,5575.2
21.5,28.3,1057.5,258.7,6858.0,56,5575.2
22.5,29.3,1057.8,261.8,6858.9,53,5575.2
23.5,28.3,1057.8,260.8,6859.7,52,5575.2
24.6,28.3,1057.8,262.8,6860.3,57,5575.2
25.6,27.4,1057.8,264.0,6860.5,60,5575.2
26.6,30.3,1057.8,260.7,6860.8,56,5575.2
27.6,27.3,1057.8,262.7,6860.9,55,5575.2
28.7,29.3,1057.8,257.5,6861.9,56,5575.2
29.7,29.3,1057.8,254.0,6862.0,54,5575.2
30.7,28.3,1057.8,256.8,6867.8,70,5575.2
31.7,28.3,1057.8,262.6,6867.8,70,5575.2
32.8,30.3,1057.8,255.7,6868.1,71,5571.2
33.8,29.3,1057.8,257.6,6868.1,70,5571.2
34.8,28.3,1057.8,255.0,6868.2,70,5571.2
35.8,30.3,1057.8,258.7,6868.4,70,5571.2
36.9,28.4,1057.8,256.2,6868.5,52,5571.2
37.9,29.3,1057.8,257.9,6868.5,56,5571.2
38.9,29.3,1057.8,251.0,6868.5,50,5614.7
39.9,28.3,1057.8,256.0,6869.7,67,5614.7
40.9,29.3,1057.8,249.4,6871.1,73,5614.7
42.0,28.3,1057.8,241.1,6871.7,70,5614.7
43.0,29.3,1057.8,241.6,6871.8,68,5614.7
44.0,29.3,1057.8,246.0,6871.8,70,5608.7
45.0,28.3,1057.8,240.4,6871.8,70,5608.7
46.1,30.3,1057.8,251.1,6871.8,70,5608.7
47.1,28.3,1057.8,261.8,6872.6,70,5640.7
48.1,28.3,1057.8,259.0,6873.6,70,5608.7
49.1,29.3,1057.8,258.9,6873.7,70,5608.7
50.2,29.3,1057.8,256.1,6873.8,70,5608.7
51.2,28.3,1057.8,260.8,6873.9,71,5608.7
52.2,29.3,1057.8,260.9,6874.0,70,5608.7
53.2,28.3,1057.8,251.0,6874.0,70,5608.7
54.3,28.3,1057.8,250.1,6874.0,71,5608.7
55.3,28.3,1057.8,249.0,6874.1,71,5608.7
56.3,29.3,1057.8,263.7,6874.1,72,5608.7
57.3,29.3,1057.8,274.4,6874.2,76,5608.7
58.4,31.3,1057.8,267.6,6874.2,71,5608.7
59.4,30.3,1057.8,266.6,6874.2,71,5608.7
60.4,29.3,1057.8,263.7,6874.3,70,5608.7
