t_s,server_cpu_pct,server_rss_mb,client_cpu_pct,client_rss_mb,gpu_busy_pct,vram_mb
1.0,14.9,1048.3,204.4,6833.7,100,5578.1
2.0,14.7,1048.3,195.4,6833.7,100,5578.1
3.1,13.7,1048.3,199.2,6833.7,100,5586.1
4.1,13.7,1048.3,190.6,6833.7,100,5586.1
5.1,13.7,1048.3,207.2,6833.7,100,5677.2
6.1,11.7,1048.3,79.1,6833.8,96,5668.7
7.1,14.6,1048.3,231.2,6833.8,100,5827.0
8.2,14.6,1048.3,215.8,6833.8,100,5723.2
9.2,15.6,1048.3,216.8,6833.8,100,5625.9
10.2,15.6,1048.3,217.0,6833.8,100,5616.3
11.2,14.6,1048.3,224.5,6833.8,100,5586.8
12.3,14.6,1048.3,228.5,6833.8,100,5586.8
13.3,16.6,1048.3,253.8,6833.8,99,5618.8
14.3,14.6,1048.3,261.5,6834.0,100,5618.8
15.3,15.6,1048.3,285.1,6834.0,98,5586.8
16.4,15.6,1048.3,279.2,6834.0,100,5586.8
17.4,14.6,1048.3,286.8,6834.0,90,5586.8
18.4,13.7,1048.3,270.4,6834.0,99,5586.8
19.4,15.6,1048.3,249.1,6834.0,100,5549.3
20.5,15.6,1048.3,248.9,6834.0,100,5549.3
21.5,14.7,1048.3,231.5,6834.0,100,5549.3
22.5,14.6,1048.3,237.3,6834.0,100,5549.3
23.5,15.6,1048.3,260.7,6834.0,99,5549.3
24.6,16.6,1048.3,281.9,6834.0,100,5581.3
25.6,14.6,1048.3,287.0,6834.0,99,5547.3
26.6,15.6,1048.3,286.4,6834.0,100,5547.3
27.6,14.6,1048.3,288.0,6834.0,100,5539.3
28.7,14.6,1048.3,286.2,6834.0,100,5539.3
29.7,13.7,1048.3,289.8,6834.1,99,5539.3
30.7,16.6,1048.3,288.1,6834.1,100,5539.3
31.7,15.6,1048.3,275.1,6834.1,100,5539.3
32.8,13.7,1048.3,252.0,6834.1,100,5571.3
33.8,15.6,1048.3,239.3,6834.1,100,5539.3
34.8,15.6,1048.3,242.4,6834.1,100,5539.3
35.8,14.6,1048.3,245.1,6834.1,100,5571.3
36.9,13.7,1048.3,242.9,6834.1,100,5539.3
37.9,15.6,1048.3,251.9,6834.1,100,5571.3
38.9,15.6,1048.3,282.9,6834.1,100,5571.3
39.9,16.6,1048.3,284.0,6834.1,100,5577.3
41.0,14.6,1048.3,288.0,6834.1,100,5577.3
42.0,15.6,1048.3,292.0,6834.1,99,5569.3
43.0,14.6,1048.3,269.5,6834.1,100,5569.3
44.0,13.7,1048.3,240.2,6834.1,100,5569.3
45.1,14.6,1048.3,236.4,6834.1,100,5569.3
46.1,13.7,1048.3,233.4,6834.1,100,5569.3
47.1,15.6,1048.3,241.0,6834.1,100,5569.3
48.1,14.6,1048.3,268.3,6834.1,100,5569.3
49.1,16.6,1048.3,288.8,6834.1,100,5569.3
50.2,15.6,1048.3,286.8,6834.1,99,5569.3
51.2,14.6,1048.3,292.7,6834.1,99,5569.3
52.2,16.6,1048.3,275.3,6834.3,99,5569.3
53.2,14.7,1048.3,254.0,6834.3,100,5569.3
54.3,14.6,1048.3,258.6,6834.3,100,5569.3
55.3,15.6,1048.3,226.5,6834.3,51,5605.8
56.3,15.6,1048.3,244.0,6834.7,87,5639.5
57.3,16.6,1048.3,277.3,6834.7,100,5713.4
58.4,15.6,1048.3,279.2,6835.0,100,5713.4
59.4,15.6,1048.3,266.6,6836.6,100,5708.4
60.4,15.6,1048.3,229.7,6836.6,100,5740.4
