t_s,server_cpu_pct,server_rss_mb,client_cpu_pct,client_rss_mb,gpu_busy_pct,vram_mb
1.0,14.9,1048.2,252.2,6831.2,100,5449.0
2.0,15.6,1048.2,239.3,6831.2,100,5566.6
3.1,14.6,1048.2,228.3,6831.2,91,5752.2
4.1,15.6,1048.2,266.4,6832.2,94,5807.0
5.1,15.6,1048.2,247.1,6832.2,100,5790.1
6.1,14.6,1048.2,256.9,6832.2,96,5771.2
7.2,15.6,1048.2,268.5,6832.2,100,5651.9
8.2,15.6,1048.2,254.9,6832.3,100,5635.7
9.2,16.6,1048.2,252.0,6832.3,100,5631.2
10.2,15.6,1048.2,260.7,6832.3,94,5621.6
11.3,14.6,1048.2,290.6,6832.3,83,5621.6
12.3,14.7,1048.2,296.0,6832.3,89,5653.6
13.3,20.5,1048.3,274.4,6832.4,84,5653.6
14.3,13.7,1048.3,248.8,6832.4,94,5653.6
15.3,13.7,1048.3,229.6,6832.4,100,5621.6
16.4,15.6,1048.3,275.6,6832.4,88,5621.6
17.4,14.6,1048.3,290.0,6832.4,88,5564.1
18.4,14.6,1048.3,265.7,6832.4,94,5564.1
19.4,15.6,1048.3,247.1,6832.5,100,5564.1
20.5,16.6,1048.3,253.9,6832.5,100,5564.1
21.5,14.7,1048.3,241.3,6832.5,100,5596.1
22.5,16.6,1048.3,243.2,6832.5,99,5564.1
23.5,14.6,1048.3,282.1,6832.5,89,5564.1
24.6,14.7,1048.3,285.3,6832.5,91,5564.1
25.6,13.7,1048.3,281.5,6832.5,89,5556.1
26.6,14.6,1048.3,283.1,6832.5,92,5556.1
27.6,15.6,1048.3,284.2,6832.5,92,5556.1
28.7,14.6,1048.3,281.1,6832.5,89,5477.6
29.7,15.6,1048.3,288.8,6832.5,93,5445.6
30.7,14.6,1048.3,288.0,6832.5,92,5445.6
31.7,14.7,1048.3,283.3,6832.5,89,5439.6
32.8,14.6,1048.3,250.9,6832.5,100,5439.6
33.8,14.6,1048.3,244.1,6832.6,100,5439.6
34.8,15.6,1048.3,267.4,6832.6,100,5439.6
35.8,14.7,1048.3,264.7,6832.6,100,5439.6
36.9,14.6,1048.3,281.2,6832.6,100,5439.6
37.9,14.6,1048.3,273.4,6832.6,100,5439.6
38.9,14.6,1048.3,264.1,6832.6,100,5445.3
39.9,15.6,1048.3,250.0,6832.6,100,5439.6
41.0,16.6,1048.3,265.7,6832.6,100,5439.6
42.0,15.6,1048.3,257.6,6832.6,97,5439.6
43.0,15.6,1048.3,279.1,6832.6,87,5439.6
44.0,14.6,1048.3,281.9,6832.6,89,5439.6
45.0,15.6,1048.3,245.2,6832.6,100,5439.6
46.1,14.6,1048.3,240.1,6832.6,100,5439.6
47.1,15.6,1048.3,251.9,6832.6,100,5439.6
48.1,14.7,1048.3,274.7,6832.6,94,5439.6
49.1,13.7,1048.3,284.0,6832.6,84,5439.6
50.2,14.7,1048.3,287.2,6832.6,89,5471.6
51.2,14.6,1048.3,285.0,6832.6,84,5439.6
52.2,14.6,1048.3,302.8,6832.6,83,5439.6
53.2,15.6,1048.3,306.4,6832.6,79,5439.6
54.3,14.6,1048.3,242.1,6832.7,65,5504.5
55.3,16.6,1048.3,334.9,6832.7,90,5475.2
56.3,15.6,1048.3,331.7,6832.7,89,5467.2
57.3,15.6,1048.3,339.6,6832.7,79,5468.9
58.4,14.6,1048.3,345.7,6832.7,93,5509.4
59.4,15.6,1048.3,251.7,6832.8,76,5738.6
60.4,15.6,1048.3,272.4,6832.8,99,5766.1
